osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
470835932,Your Independent Grocer,supermarket,NA,Your Independent Grocer,River Road,671,NA,NA,-75.69742015621213,45.270562711369976
471797444,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Stittsville Main Street,1251,NA,NA,-75.92853395349921,45.26898724528917
471898445,Real Canadian Superstore,supermarket,NA,Real Canadian Superstore,Innes Road,4270,NA,NA,-75.49440049465856,45.456652675887725
471898477,Farm Boy,supermarket,NA,Farm Boy,Tenth Line Road,2030,NA,NA,-75.48788658233292,45.458301909661195
471920113,Food Basics,supermarket,NA,Food Basics,Hazeldean Road,5703,NA,NA,-75.9135576340883,45.2851809412192
472398054,Walmart Supercentre,supermarket,NA,Walmart,Innes Road,3900,NA,NA,-75.50850264131876,45.45133912294451
473049148,Farm Boy,supermarket,NA,Farm Boy,Bank Street,2950,NA,NA,-75.62601699427016,45.345629278551975
478200431,Bulk Barn,supermarket,NA,Bulk Barn,Greenbank Road,3161,NA,K2J 4H9,-75.74519627657382,45.26954375462699
478366946,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Strandherd Drive,3777,NA,K2J 4B1,-75.74667763513867,45.268058327721775
478374551,Farm Boy,supermarket,NA,Farm Boy,Greenbank Road,1581,NA,K2C 3H2,-75.74700487096231,45.27417346138339
478977135,Food Basics,supermarket,NA,Food Basics,Greenbank Road,900,NA,K2J 1S8,-75.75625889680967,45.28434652332229
480073623,Metro,supermarket,NA,Metro,Mccarthy Road,3310,NA,NA,-75.67219492091279,45.35054205524791
482653912,Walmart Supercentre,supermarket,NA,Walmart,Bank Street,2210,NA,K1V 1J6,-75.65484610411144,45.354769842542964
483073634,Metro,supermarket,NA,Metro,Innes Road,2636,NA,NA,-75.56321965733078,45.43090699920967
483215218,Produce Depot,greengrocer,NA,NA,Bank Street,2446,NA,NA,-75.64536372374376,45.35251197683192
483702522,Geeland International Grocery,supermarket,NA,NA,Walkley Road,1620,NA,NA,-75.64502255865837,45.377369994595774
484009059,Metro,supermarket,NA,Metro,Montréal Road,1930,NA,NA,-75.595213987047,45.44540984962302
484828775,Food Basics,supermarket,NA,Food Basics,Innes Road,3712,NA,K1W 0C8,-75.5172340401091,45.449591283498414
485194417,Your Independent Grocer,supermarket,NA,Your Independent Grocer,St-Laurent Boulevard,1910,NA,NA,-75.62411286852334,45.398126729461154
485239225,Bulk Barn,supermarket,NA,Bulk Barn,Bank Street,2210,NA,K1V 1J5,-75.65773450905533,45.35930600589421
485239248,Loblaws,supermarket,NA,Loblaws,Bank Street,2210,NA,K1V 1J5,-75.65668170412081,45.35744441556667
485685918,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Orléans Boulevard,1619,NA,NA,-75.52411387596433,45.45958293220478
489060898,Your Independent Grocer,supermarket,NA,Your Independent Grocer,NA,NA,NA,NA,-76.02677619964096,44.89251578379308
489060904,Walmart Supercentre,supermarket,NA,Walmart,Lombard Street,114,Smiths Falls,NA,-76.03280317729127,44.892289793842096
522232447,Bulk Barn,supermarket,NA,Bulk Barn,Boulevard de la Gappe,41,Gatineau,NA,-75.71903513058629,45.464067459795814
533298640,Foodland,supermarket,NA,Foodland,Osgoode Main Street,5669,NA,NA,-75.60201002452511,45.149667927595665
548035599,Upland AFRI & Caribbean Stote,greengrocer,NA,NA,Merivale Road,1036,NA,NA,-75.73361274618392,45.3788264044528
551780127,FreshCo,supermarket,NA,FreshCo,Merivale Road,1595,NA,K2G 3J4,-75.7327354247046,45.352785887280874
551943412,Bulk Barn,supermarket,NA,Bulk Barn,Merivale Road,1465,NA,K2E 5N9,-75.73333219862049,45.36015987032427
551950055,Bulk Barn,supermarket,NA,Bulk Barn,Carling Avenue,2148,NA,K2A 1H1,-75.76888548535062,45.36926321350959
567230351,Farm Boy,supermarket,NA,Farm Boy,Terry Fox Drive,499,NA,K2T 1H7,-75.92163861393011,45.31076610438056
