osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
6960963115,Baker Bob's,bakery,NA,NA,NA,NA,NA,NA,-76.195459,45.2256659
6960963121,Pêches et Poivre,deli,NA,NA,NA,NA,NA,NA,-76.1946757,45.2254317
6988507668,Strawberry Blonde Bakery,bakery,NA,NA,Richmond Road,111,NA,K1Z 6V9,-75.7448317,45.3962536
7014189281,M&M Food Market,butcher,NA,M&M Food Market,NA,NA,NA,NA,-76.0192819,44.8881593
7039218572,L'Artisan du dessert,bakery,NA,NA,NA,NA,NA,NA,-75.6882942,45.4899046
7039242296,Philouze,bakery,NA,NA,NA,NA,NA,NA,-75.6849987,45.4900871
7039372530,Katherine Mandarine Crèmierie,NA,ice_cream,NA,NA,NA,NA,NA,-75.7303692,45.4755885
7086907430,The Crusty Baker,bakery,NA,NA,Prescott Street,16,NA,NA,-75.6462337,45.0161224
7103336583,Menchie's,NA,ice_cream,Menchie's,George Street,80,NA,NA,-75.6912169,45.4272121
7131405901,Little Italy Fine Foods,deli,NA,NA,NA,NA,NA,NA,-75.6782256,45.409154
7244048857,Chocolats Favoris,chocolate,NA,NA,NA,NA,NA,NA,-75.8349888,45.3965172
7440207367,Back Country Butchers,butcher,NA,NA,NA,NA,NA,NA,-76.2223184,45.4020452
7475452987,Papa sams,NA,ice_cream,NA,NA,NA,NA,NA,-75.9264685,45.2629431
7528966789,Boccato,NA,ice_cream,NA,NA,NA,NA,NA,-75.6824753,45.4007435
7535605085,Milo's Pastry,NA,ice_cream,NA,NA,NA,NA,NA,-75.6476282,45.4120765
7610831382,MJ Butcher Co.,butcher,NA,NA,Elgin Street West,4,NA,NA,-76.3535777,45.4328193
7632692832,Grocer Direct Inc.,butcher,NA,NA,Stevenage Drive,2309,NA,K1G 3W1,-75.6113439,45.3797728
7728930886,Tracey's Ice Cream,NA,ice_cream,NA,NA,NA,NA,NA,-75.683174,45.2255951
7747287178,Luciano Foods,bakery,NA,NA,Preston Street,114,NA,NA,-75.7145185,45.4085782
