osm_id,type,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
5009714022,restaurant,Town,NA,restaurant,NA,Elgin Street,296,NA,NA,-75.6894947,45.4166296
5039207629,restaurant,Broadway Bar & Grill,NA,restaurant,NA,NA,NA,NA,NA,-75.6052944,45.41453
5044985621,restaurant,Mad Radish,NA,restaurant,NA,Albert Street,NA,NA,NA,-75.6964503,45.4214604
5054736221,cafe,Cafe Morala,NA,cafe,NA,Bank Street,734,NA,NA,-75.6890954,45.4040123
5057582464,cafe,Tim Hortons,NA,cafe,Tim Hortons,Trim Road,1270,NA,NA,-75.4797643,45.4907323
5060367088,fast_food,Subway,NA,fast_food,Subway,Main Street,164,NA,NA,-75.678574,45.4095966
5081705877,cafe,Starbucks,coffee,cafe,Starbucks,Tunney's Pasture Driveway,170,NA,NA,-75.734853,45.4069064
5081735092,fast_food,Dura-Don,NA,fast_food,NA,NA,NA,NA,NA,-75.7337978,45.4025756
5085976323,fast_food,Asian Stars,NA,fast_food,NA,Clyde Avenue,1380,NA,NA,-75.7393817,45.3596785
5085980121,restaurant,Denny's,NA,restaurant,Denny's,Clyde Avenue,1380,NA,NA,-75.7392519,45.3595889
5095878971,fast_food,Fattoush Lady,NA,fast_food,NA,Slater Street,99,NA,NA,-75.6948766,45.4216073
5102251257,cafe,Nutella Cafe,NA,cafe,NA,Metcalfe Street,193,NA,NA,-75.6934069,45.4185738
5108586921,restaurant,Il Vicolo,NA,restaurant,NA,NA,NA,NA,NA,-75.6919639,45.4293232
5108651131,bar,Local Heroes,NA,bar,NA,Clyde Avenue,1400,NA,NA,-75.7392143,45.3587503
5108651136,deli,Dutch Groceries & Giftware,deli,NA,NA,Clyde Avenue,1400,NA,NA,-75.7388708,45.3583368
5113455801,restaurant,Marzitelli,NA,restaurant,NA,NA,NA,NA,NA,-75.6883718,45.4152974
5113457164,restaurant,Backdrop,NA,restaurant,NA,NA,NA,NA,NA,-75.694603,45.4193501
5115858561,cafe,Presotea,NA,cafe,NA,Rideau Street,174 A,NA,NA,-75.6893101,45.4270864
5124537174,restaurant,High Fives Sports Pub,NA,restaurant,NA,Robertson Road,1876,NA,NA,-75.8205213,45.3269654
5129263655,cafe,Tim Hortons,NA,cafe,Tim Hortons,Carling Avenue,1053,NA,NA,-75.7222632,45.3925928
5129263656,cafe,The Tulip Café,NA,cafe,NA,NA,NA,NA,NA,-75.7209611,45.3932323
5155564931,restaurant,T & J Style Kitchen,NA,restaurant,NA,Colonel By Drive,1125,NA,NA,-75.693899,45.384546
