osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
576883854,Tarboush,restaurant,restaurant,NA,restaurant,NA,Tenth Line Road,2288,NA,NA,-75.48440323570453,45.45106604242694
576883861,Persis Grill,restaurant,restaurant,NA,restaurant,NA,Tenth Line Road,2288,NA,NA,-75.48436438525788,45.45095321005515
576883869,Sobeys,grocery,supermarket,supermarket,NA,Sobeys,Tenth Line Road,2276,NA,NA,-75.48507366768997,45.45220961759183
576886775,McDonald's,fast_food,fast_food,NA,fast_food,McDonald's,Palladium Drive,3015,NA,NA,-75.94126066640627,45.29581849514974
576918513,Harvey's,fast_food,fast_food,NA,fast_food,Harvey's,Eagleson Road,700,NA,NA,-75.86772385107129,45.28663145146811
576918516,Domino's,fast_food,fast_food,NA,fast_food,Domino's,Eagleson Road,700,NA,NA,-75.8676877038801,45.28580943648108
576918525,Subway,fast_food,fast_food,NA,fast_food,Subway,Eagleson Road,700,NA,NA,-75.86842120114919,45.28623405595786
576918526,Pita Pit,fast_food,fast_food,NA,fast_food,Pita Pit,Eagleson Road,700,NA,NA,-75.86845165464162,45.28625635381453
577126701,Benny & Co.,restaurant,restaurant,NA,restaurant,Benny & Co.,Innes Road,4120,NA,NA,-75.50276294465179,45.455887570987116
577126702,Lone Star Texas Grill,restaurant,restaurant,NA,restaurant,NA,Innes Road,4110,NA,NA,-75.5036086230033,45.45566493582201
577926260,Ginko Garden Chinese Food,fast_food,fast_food,NA,fast_food,NA,St-Laurent Boulevard,2225,NA,NA,-75.617310887601,45.389612043028905
577926263,Milano Pizzeria,fast_food,fast_food,NA,fast_food,NA,St-Laurent Boulevard,2241,NA,NA,-75.61717196638332,45.38936492291426
578263652,Subway,fast_food,fast_food,NA,fast_food,Subway,Jeanne-d'Arc Boulevard North,6481,NA,NA,-75.53761749851115,45.47960575075054
578263660,House of Pizza Plus,fast_food,fast_food,NA,fast_food,NA,Jeanne-d'Arc Boulevard North,6505,NA,NA,-75.53773404684567,45.47987964488623
578263665,Greek Plus,fast_food,fast_food,NA,fast_food,NA,Jeanne-d'Arc Boulevard North,6483,NA,NA,-75.5375533411921,45.4796234017136
578263666,Aljabal Bakery,fast_food,fast_food,NA,fast_food,NA,Jeanne-d'Arc Boulevard North,6469,NA,NA,-75.53775830055916,45.48003294735921
578268886,Bella Vista,restaurant,restaurant,NA,restaurant,NA,Alta Vista Drive,2629,NA,NA,-75.66208167718602,45.37276094216902
578268895,Chillies,restaurant,restaurant,NA,restaurant,NA,Alta Vista Drive,2629,NA,NA,-75.66235100333125,45.37239269813737
578268901,Ariana Kebab House,restaurant,restaurant,NA,restaurant,NA,Alta Vista Drive,2629,NA,NA,-75.66256904961429,45.372296211950584
